41,末代皇帝,https://www.maoyan.com/films/2039,"
                主演：尊龙,陈冲,彼得·奥图尔
        ",上映时间：1987-10-04(日本)
42,心灵奇旅,https://www.maoyan.com/films/2039,"
                主演：杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德
        ",上映时间：2020-12-25
43,超脱,https://www.maoyan.com/films/553231,"
                主演：阿德里安·布劳迪,马西娅·盖伊·哈登,詹姆斯·凯恩
        ",上映时间：2011-04-25(美国)
44,三块广告牌,https://www.maoyan.com/films/65496,"
                主演：弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔
        ",上映时间：2018-03-02
45,海蒂和爷爷,https://www.maoyan.com/films/342754,"
                主演：阿努克·斯特芬 ,布鲁诺·冈茨,昆林·艾格匹
        ",上映时间：2019-05-16
46,机器人总动员,https://www.maoyan.com/films/337625,"
                主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林
        ",上映时间：2008-06-27(美国)
47,一一,https://www.maoyan.com/films/488,"
                主演：吴文钦,金燕玲,李凯莉
        ",上映时间：2017-07-28(中国台湾)
48,西西里的美丽传说,https://www.maoyan.com/films/1383,"
                主演：莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳
        ",上映时间：2000-10-26 00:00:00(意大利)
49,本杰明·巴顿奇事,https://www.maoyan.com/films/1284164,"
                主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森
        ",上映时间：2008-12-25(美国)
51,让子弹飞,https://www.maoyan.com/films/182,"
                主演：姜文,周润发,葛优
        ",上映时间：2010-12-16
52,布达佩斯大饭店,https://www.maoyan.com/films/182,"
                主演：拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南
        ",上映时间：2014-02-06(德国)
53,消失的爱人,https://www.maoyan.com/films/78449,"
                主演：本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯
        ",上映时间：2014-09-26(美国)
54,美国往事,https://www.maoyan.com/films/78997,"
                主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文
        ",上映时间：2015-04-23
55,美丽心灵,https://www.maoyan.com/films/1332,"
                主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯
        ",上映时间：2001-12-13(美国)
56,乱世佳人,https://www.maoyan.com/films/11473,"
                主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰
        ",上映时间：1939-12-15(美国)
57,阿凡达,https://www.maoyan.com/films/7431,"
                主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹
        ",上映时间：2010-01-04
58,搏击俱乐部,https://www.maoyan.com/films/243,"
                主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特
        ",上映时间：1999-09-10(意大利)
59,爱在黎明破晓前,https://www.maoyan.com/films/1291,"
                主演：伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特
        ",上映时间：1995-01-27(美国)
61,飞屋环游记,https://www.maoyan.com/films/614,"
                主演：爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井
        ",上映时间：2009-08-04
62,低俗小说 4K,https://www.maoyan.com/films/614,"
                主演：约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫
        ",上映时间：1994-05-21(法国)
63,飞越疯人院,https://www.maoyan.com/films/1239,"
                主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森
        ",上映时间：1975-11-19(美国)
64,复仇者联盟4：终局之战,https://www.maoyan.com/films/1322,"
                主演：小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛
        ",上映时间：2019-04-24
65,无间道,https://www.maoyan.com/films/248172,"
                主演：刘德华,梁朝伟,黄秋生
        ",上映时间：2003-09-05
66,蝴蝶效应,https://www.maoyan.com/films/224973,"
                主演：约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特
        ",上映时间：2004-01-23(美国)
67,大话西游之大圣娶亲,https://www.maoyan.com/films/1368,"
                主演：周星驰,朱茵,莫文蔚
        ",上映时间：2014-10-24
68,天使爱美丽,https://www.maoyan.com/films/158,"
                主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯
        ",上映时间：2001-04-25(比利时)
69,天空之城,https://www.maoyan.com/films/1314,"
                主演：田中真弓,横泽启子,初井言荣
        ",上映时间：2023-06-01
71,爱在日落黄昏时,https://www.maoyan.com/films/1287,"
                主演：伊桑·霍克,朱莉·德尔佩,弗农·多布切夫
        ",上映时间：2015-04-20
72,心灵捕手,https://www.maoyan.com/films/1287,"
                主演：罗宾·威廉姆斯,马特·达蒙,明妮·德里弗
        ",上映时间：1997-12-05(美国)
73,控方证人,https://www.maoyan.com/films/1575,"
                主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿
        ",上映时间：1957-12-17(美国)
74,罗马假日,https://www.maoyan.com/films/4430,"
                主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特
        ",上映时间：1953-08-20(意大利)
75,春光乍泄,https://www.maoyan.com/films/2641,"
                主演：张国荣,梁朝伟,张震
        ",上映时间：1997-05-30(中国香港)
76,穿条纹睡衣的男孩,https://www.maoyan.com/films/1597,"
                主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯
        ",上映时间：2008-08-28(英国)
77,七宗罪,https://www.maoyan.com/films/38099,"
                主演：布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛
        ",上映时间：1995-09-22(美国)
78,重庆森林,https://www.maoyan.com/films/1321,"
                主演：梁朝伟,王菲,金城武
        ",上映时间：1994-07-14(中国香港)
79,釜山行,https://www.maoyan.com/films/1290,"
                主演：孔刘,郑裕美,马东锡
        ",上映时间：2016-05-13 00:00:00(法国)
81,花束般的恋爱,https://www.maoyan.com/films/1300821,"
                主演：有村架纯,菅田将晖,细田佳央太
        ",上映时间：2022-02-22
82,猫鼠游戏,https://www.maoyan.com/films/1300821,"
                主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯
        ",上映时间：2003-04-11
83,辩护人,https://www.maoyan.com/films/11105,"
                主演：宋康昊,郭度沅,吴达洙
        ",上映时间：2013-12-18(韩国)
84,钢琴家,https://www.maoyan.com/films/246433,"
                主演：阿德里安·布劳迪,艾米莉娅·福克斯,米乔·赞布罗斯基
        ",上映时间：2002-05-24(法国)
85,剪刀手爱德华,https://www.maoyan.com/films/4883,"
                主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特
        ",上映时间：1990-12-06(美国)
86,入殓师,https://www.maoyan.com/films/513,"
                主演：本木雅弘,广末凉子,山崎努
        ",上映时间：2021-10-29
87,素媛,https://www.maoyan.com/films/30932,"
                主演：李来,薛景求,严智苑
        ",上映时间：2013-10-02(韩国)
88,断背山,https://www.maoyan.com/films/78538,"
                主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯
        ",上映时间：2005-09-02(意大利)
89,饮食男女,https://www.maoyan.com/films/14652,"
                主演：郎雄,吴倩莲,杨贵媚
        ",上映时间：1994-08-03(美国)
91,蝙蝠侠：黑暗骑士,https://www.maoyan.com/films/790,"
                主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特
        ",上映时间：2008-07-14(阿根廷)
92,两杆大烟枪,https://www.maoyan.com/films/790,"
                主演：杰森·弗莱明,德克斯特·弗莱彻,杰森·斯坦森
        ",上映时间：1998-08-28(英国)
93,大鱼,https://www.maoyan.com/films/2204,"
                主演：伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格
        ",上映时间：2003-12-04(美国)
94,真爱至上,https://www.maoyan.com/films/1202,"
                主演：休·格兰特,比尔·奈伊,连姆·尼森
        ",上映时间：2003-11-21(英国)
95,傲慢与偏见,https://www.maoyan.com/films/1379,"
                主演：马修·麦克费登,吉娜·马隆,妲露拉·莱莉
        ",上映时间：2008-02-10
96,波西米亚狂想曲,https://www.maoyan.com/films/14583,"
                主演：拉米·萨义德·马雷克,本·哈迪,约瑟夫•梅泽罗
        ",上映时间：2019-03-22
97,致命魔术,https://www.maoyan.com/films/1167831,"
                主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩
        ",上映时间：2006-10-17(意大利)
98,模仿游戏,https://www.maoyan.com/films/20131,"
                主演：本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪
        ",上映时间：2015-07-21
99,奥本海默,https://www.maoyan.com/films/78646,"
                主演：基里安·墨菲,艾米莉·布朗特,马特·达蒙
        ",上映时间：2023-08-30
